Sample,Proj.Plate,Plate #,PlateSamp,Cell,Note,Seq_PN,Seq_SID,Seq_Full_ID
1,BZea-2023-1,1,1,A1,LANTEO067BABB_BC2S4,1,1,PN1_SID1
2,BZea-2023-1,1,2,B1,LANTEO311BABB_BC2S4,1,2,PN1_SID2
3,BZea-2023-1,1,3,C1,LANTEO240BACB_BC2S4,1,3,PN1_SID3
4,BZea-2023-1,1,4,D1,LANTEO241BACA_BC2S4,1,4,PN1_SID4
5,BZea-2023-1,1,5,E1,LANTEO241BACB_BC2S4,1,5,PN1_SID5
6,BZea-2023-1,1,6,F1,LANTEO241BADA_BC2S4,1,6,PN1_SID6
7,BZea-2023-1,1,7,G1,LANTEO241BADB_BC2S4,1,7,PN1_SID7
8,BZea-2023-1,1,8,H1,LANTEO241BAEA_BC2S4,1,8,PN1_SID8
9,BZea-2023-1,1,9,A2,LANTEO241BAEB_BC2S4,1,9,PN1_SID9
10,BZea-2023-1,1,10,B2,LANTEO241BBAA_BC2S4,1,10,PN1_SID10
11,BZea-2023-1,1,11,C2,LANTEO241BBAB_BC2S4,1,11,PN1_SID11
12,BZea-2023-1,1,12,D2,LANTEO241BDAA_BC2S4,1,12,PN1_SID12
13,BZea-2023-1,1,13,E2,LANTEO241BDAB_BC2S4,1,13,PN1_SID13
14,BZea-2023-1,1,14,F2,LANTEO241BDBA_BC2S4,1,14,PN1_SID14
15,BZea-2023-1,1,15,G2,LANTEO241BDBB_BC2S4,1,15,PN1_SID15
16,BZea-2023-1,1,16,H2,LANTEO241BEAB_BC2S4,1,16,PN1_SID16
17,BZea-2023-1,1,17,A3,LANTEO241BFBC_BC2S4,1,17,PN1_SID17
18,BZea-2023-1,1,18,B3,LANTEO255BAAA_BC2S4,1,18,PN1_SID18
19,BZea-2023-1,1,19,C3,LANTEO255BAAB_BC2S4,1,19,PN1_SID19
20,BZea-2023-1,1,20,D3,LANTEO255BABA_BC2S4,1,20,PN1_SID20
21,BZea-2023-1,1,21,E3,LANTEO266BBAB_BC2S4,1,21,PN1_SID21
22,BZea-2023-1,1,22,F3,LANTEO297BABA_BC2S4,1,22,PN1_SID22
23,BZea-2023-1,1,23,G3,LANTEO297BABB_BC2S4,1,23,PN1_SID23
24,BZea-2023-1,1,24,H3,LANTEO300BAAB_BC2S4,1,24,PN1_SID24
25,BZea-2023-1,1,25,A4,LANTEO300BABB_BC2S4,1,25,PN1_SID25
26,BZea-2023-1,1,26,B4,LANTEO301BABB_BC2S4,1,26,PN1_SID26
27,BZea-2023-1,1,27,C4,LANTEO302BAA_BC2S4,1,27,PN1_SID27
28,BZea-2023-1,1,28,D4,LANTEO303BAAB_BC2S4,1,28,PN1_SID28
29,BZea-2023-1,1,29,E4,LANTEO303BABA_BC2S4,1,29,PN1_SID29
30,BZea-2023-1,1,30,F4,LANTEO304BAAB_BC2S4,1,30,PN1_SID30
31,BZea-2023-1,1,31,G4,LANTEO096BBBA_BC2S4,1,31,PN1_SID31
32,BZea-2023-1,1,32,H4,LANTEO098BAAA_BC2S4,1,32,PN1_SID32
33,BZea-2023-1,1,33,A5,LANTEO098BAAB_BC2S4,1,33,PN1_SID33
34,BZea-2023-1,1,34,B5,LANTEO098BBAA_BC2S4,1,34,PN1_SID34
